"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population"
2020-05-31,5,"ขอนแก่น",0,6,0,0,"Khon Kaen","TH40",1630099
2020-05-31,5,"จันทบุรี",0,3,0,0,"Chanthaburi","TH22",442591
2020-05-31,5,"ฉะเชิงเทรา",0,17,0,1,"Chachoengsao","TH24",738516
2020-05-31,5,"ชลบุรี",21,112,0,2,"Chon Buri","TH20",2147385
2020-05-31,5,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108
2020-05-31,5,"ชัยภูมิ",0,3,0,0,"Chaiyaphum","TH36",764624
2020-05-31,5,"ชุมพร",0,21,1,3,"Chumphon","TH86",441213
2020-05-31,5,"เชียงราย",0,9,0,0,"Chiang Rai","TH57",1089821
2020-05-31,5,"เชียงใหม่",1,41,0,1,"Chiang Mai","TH50",1809819
2020-05-31,5,"ตรัง",0,7,0,0,"Trang","TH92",540949
2020-05-31,5,"ตราด",0,0,0,0,"Trat","TH23",264085
2020-05-31,5,"ตาก",0,3,0,0,"Tak","TH63",510728
